"","COWcode","year","CW_Onset","Fearon and Latin (2003)","Collier and Hoeffler (2004)","Hegre and Sambanis (2006)","Random Forest","Full Logistic Regression","Combined FL + CH","Insurgency","Statistically Significant"
"692",640,2006,0,0.00836338281188186,0.00313295277603591,0.00502934961793118,0.06,2.22044604925031e-16,0.00247723315055158,0.00469717362599981,0.00233703241044621
"693",640,2007,0,0.00825887072206238,0.00315399053738212,0.00487732048058299,0.069,2.22044604925031e-16,0.00248617599284248,0.00472500931046504,0.00234122730431472
"694",640,2008,0,0.0083127932171621,0.003079536070256,0.00498853538766594,0.059,2.22044604925031e-16,0.00243358604496936,0.00463746727298682,0.00229992401427438
"695",640,2009,0,0.00829452034623891,0.0030907140371709,0.00496159459901664,0.058,2.22044604925031e-16,0.00243042700940801,0.00465715484938371,0.00229559344490691
"696",640,2010,0,0.00826696371657619,0.00303980384137258,0.00493901057236084,0.058,2.22044604925031e-16,0.00240085270358395,0.00460637135404913,0.00226891760916816
"697",640,2011,0,0.00835455861888683,0.00318447637594558,0.00502586733769123,0.061,2.22044604925031e-16,0.00251362460650063,0.00475412785112925,0.00237339697935526
"698",640,2012,0,0.00826996016228781,0.0031156059787632,0.00495550559136515,0.057,2.22044604925031e-16,0.00245758517437337,0.00466597972198498,0.00233116236812316
"699",640,2013,0,0.00833269381217846,0.00318292303804623,0.00498367794542098,0.057,2.22044604925031e-16,0.00251176855732357,0.00475501508587923,0.00237364967222492
"700",640,2014,0,0.00836475358587923,0.00315398900721194,0.0050536402152376,0.057,2.22044604925031e-16,0.00249692351711202,0.00473459753424391,0.00236721537582874
"701",645,2001,0,0.00905023140181532,0.00342021584768454,0.00455664060946838,0.067,1,0.00217837935071195,0.0056156534152426,0.0021240030529983
"702",645,2002,0,0.00905435051721288,0.00342594592458559,0.00456305353520857,0.069,1,0.00218190918267681,0.00561741835736959,0.00212631422404418
"703",645,2003,0,0.00734719588972352,0.00348783156653539,0.00581457877978929,0.068,1,0.00189362592285762,0.00433458027606183,0.00214482336698167
"704",645,2004,1,0.0317941881449607,0.00546938904508539,0.0275159707932684,0.17,1,0.00838227559956195,0.0158466701000425,0.013146326322243
"705",645,2005,0,0.0282593527531164,0.00348764071255764,0.0236415160245123,0.096,1,0.00546033471431218,0.0123949405960477,0.00868757902289373
"706",645,2006,0,0.028317774907674,0.00352648631824293,0.0237475701951369,0.095,1,0.00549909608925632,0.0125115764732376,0.00875286120986202
"707",645,2007,0,0.0283223740394385,0.00349350618027028,0.02390119745588,0.093,1,0.00546381204191291,0.0124194014207751,0.00875497844874164
"708",645,2008,0,0.0282584820682974,0.0035428785973388,0.023700570229297,0.102,1,0.00553793851995578,0.0125878263322716,0.00881578329800426
"709",645,2009,0,0.028299995136001,0.00355807725635399,0.0235548579072151,0.099,1,0.00557941506726375,0.0125900299842542,0.00883130945236195
"710",645,2010,0,0.0263936799183352,0.0035137990827869,0.0242277169115578,0.097,1,0.00522321303325199,0.0114505795173685,0.00873473287379042
"711",645,2011,0,0.0260356578684239,0.00336844415238299,0.023636938179779,0.096,1,0.00501372325640123,0.0111184959717953,0.00835023218030083
"712",645,2012,0,0.0260670556689041,0.00334273732926885,0.0238660624430521,0.092,1,0.00496781894911005,0.0109965695590388,0.00837619256604182
"713",645,2013,1,0.0152050183534626,0.0388789236415722,0.0245411647824989,0.95,1,0.022647097976652,0.0180267330118912,0.0308702476364313
"714",645,2014,0,0.00631912178970179,0.00348266789065338,0.00409857817212009,0.064,1,0.00171179099490469,0.00361402915804344,0.0021708996627836
"715",651,2001,0,0.00822118980718314,0.00309998444003727,0.00486912814027551,0.061,2.22044604925031e-16,0.00244069887933696,0.00464586451201498,0.00230029663052601
"716",651,2002,0,0.0082866680314438,0.00318337642613863,0.00492328130573861,0.06,2.22044604925031e-16,0.00250826511132976,0.00473084781336372,0.00236441814162211
"717",651,2003,0,0.00839042364613027,0.00314995593309854,0.00504298410852394,0.062,2.22044604925031e-16,0.0025041744931389,0.00476607200417705,0.002365048245449
"718",651,2004,0,0.00831326199006366,0.00309967251207931,0.00498674756591782,0.061,2.22044604925031e-16,0.00244377687781496,0.00465565692966681,0.00231064296691154
"719",651,2005,0,0.00834293799903789,0.00316350894661572,0.00501217838346216,0.057,2.22044604925031e-16,0.00249574894295066,0.00472958352393968,0.00235924790960069
"720",651,2006,0,0.00839649084743679,0.00326745477509155,0.00504829075296228,0.068,2.22044604925031e-16,0.00257779875552703,0.00484101014539252,0.00242643833284603
"721",651,2007,0,0.0083439838906043,0.00312832684891117,0.00497802116412974,0.065,2.22044604925031e-16,0.00247669528074581,0.0047247494822081,0.00232878614469317
"722",651,2008,0,0.00827968382003438,0.0031365606290032,0.00494616553208979,0.058,2.22044604925031e-16,0.00247378698377392,0.00469167782012384,0.00233942836593018
"723",651,2009,0,0.00824671819023342,0.00303030804391166,0.00492718653548657,0.058,2.22044604925031e-16,0.002388258691135,0.00459685071581784,0.00225427826756603
"724",651,2010,0,0.00831261993316826,0.00318684826932091,0.00497466905344342,0.063,2.22044604925031e-16,0.00251982436440979,0.00475632727235218,0.00238114187360307
"725",651,2011,0,0.00828629477646981,0.00312443777857064,0.00497083176748254,0.058,2.22044604925031e-16,0.0024584110226356,0.00468165052280631,0.00232829235665086
"726",651,2012,0,0.00837346069089369,0.00323879600041444,0.00500562893875506,0.068,2.22044604925031e-16,0.00256053639529703,0.00482006220855213,0.00240143943620013
"727",651,2013,0,0.00838495223436614,0.00315300093899551,0.00503394222968398,0.06,2.22044604925031e-16,0.00249085471598245,0.00473297816315373,0.0023403190893184
"728",651,2014,0,0.0083481824222283,0.00313344155039759,0.00500564397132727,0.06,2.22044604925031e-16,0.00247565254710725,0.00469499184467321,0.00233404390162905
"729",652,2001,0,0.00868123498019183,0.00352464484597443,0.00425484640123941,0.068,1,0.00216555129879969,0.00538836686216003,0.00218855742282791
"730",652,2002,0,0.00856771490595623,0.00338987425708055,0.00416557332956485,0.059,1,0.00207919391843781,0.00525098891320181,0.00208844960089715
"731",652,2003,0,0.00854909339315638,0.00330213384721389,0.00415239058286048,0.064,1,0.00202518814097193,0.00514351558442726,0.00203483161227877
"732",652,2004,0,0.00867666757423628,0.00348390853785558,0.00425196517767105,0.062,1,0.0021376377994342,0.00534434376270074,0.00216440492977535
"733",652,2005,0,0.00857778698576918,0.00339377978822911,0.0041634509555766,0.062,1,0.00207989634210968,0.00524585247658841,0.00209203577691912
"734",652,2006,0,0.00863003332635261,0.00337779117099227,0.00421768685665224,0.064,1,0.0020761991090445,0.00523237775933727,0.00209198094078441
"735",652,2007,0,0.00864555976061072,0.00332091076319362,0.00425070735969384,0.062,1,0.00204387056242144,0.00519565781227329,0.00206626354045169
"736",652,2008,0,0.00862259613640325,0.00349691339440823,0.00420864448940244,0.071,1,0.00214644647860142,0.00536075004989057,0.00217018867805096
"737",652,2009,0,0.0086974474248605,0.00352048415547015,0.00427654621154963,0.066,1,0.00215797448331521,0.00539379831257392,0.00218291500172219
"738",652,2010,0,0.00859398846217695,0.00346694348215496,0.00417081473176266,0.074,1,0.00212783695709786,0.00532372833862041,0.00214241885514324
"739",652,2011,0,0.008613551927478,0.00338923011432742,0.00416600968416933,0.065,1,0.00208012292194486,0.00523770310021966,0.00208094903725538
"740",652,2012,1,0.00873038329275484,0.00341472407009656,0.00424960187484028,0.099,1,0.00218874850947104,0.00556388624947819,0.00213520690011334
"741",652,2013,0,0.00908915720192373,0.00344689660164399,0.00459516865879727,0.067,1,0.00219280561078914,0.00562910559744668,0.00213356937164161
"742",652,2014,0,0.00906617489468364,0.0034599889425994,0.0045859737329897,0.065,1,0.00220120581053824,0.00564257230365809,0.00215448309610059
"743",660,2001,0,0.00828114192110339,0.003210433361041,0.00492708638781581,0.062,2.22044604925031e-16,0.00252848388663845,0.0047672558470142,0.00238937846839756
"744",660,2002,0,0.00832178362372625,0.00320752386075169,0.00497705582313581,0.061,2.22044604925031e-16,0.00252855565808892,0.00476056823949747,0.00238373431266856
"745",660,2003,0,0.00837925405382215,0.00324884760291363,0.00500879750514396,0.068,2.22044604925031e-16,0.0025620657949729,0.00481453927083113,0.00240962614633436
"746",660,2004,0,0.0083457632054536,0.00311123565307418,0.00501630592290597,0.059,2.22044604925031e-16,0.00245032313649934,0.00466030214532022,0.00231591963322893
"747",660,2005,0,0.0083463773407652,0.00313970104890652,0.00500048693655116,0.059,2.22044604925031e-16,0.00247963965675481,0.00470161916010957,0.00233948650096716
"748",660,2006,0,0.00820642261812785,0.00311081775479952,0.00483645925916029,0.062,2.22044604925031e-16,0.00244555073284102,0.00465608360997486,0.00229990547886637
"749",660,2007,0,0.00824833337240204,0.00310511527944872,0.0049057859782364,0.058,2.22044604925031e-16,0.0024428017683261,0.00466382732878004,0.00231424000605772
"750",660,2008,0,0.008293750650212,0.00305513160791737,0.00497558588910758,0.057,2.22044604925031e-16,0.00241243201174773,0.00460930148333858,0.00227864751547227
"751",660,2009,0,0.00832817282258774,0.0031118602765322,0.00498378316870526,0.059,2.22044604925031e-16,0.00245997640737669,0.00467718597520246,0.00231837116151679
"752",660,2010,0,0.00836227729803374,0.00320733073587965,0.00501621466786904,0.058,2.22044604925031e-16,0.0025330863710978,0.00477603024500796,0.0023986872629119
"753",660,2011,0,0.00832692959433719,0.00312871461879664,0.00499193343718784,0.059,2.22044604925031e-16,0.00246996855332524,0.00469725641151611,0.00233291976215736
"754",660,2012,0,0.00837995363439687,0.0031710125305603,0.00501785802047769,0.059,2.22044604925031e-16,0.00250586650611219,0.00474495459706388,0.00236213522718135
"755",660,2013,0,0.00831534277512714,0.0031649312598564,0.00497321352979568,0.058,2.22044604925031e-16,0.00249321747249651,0.00472561308305805,0.00236085356636088
"756",660,2014,0,0.00831424141007454,0.00317592829293908,0.00495664990483393,0.06,2.22044604925031e-16,0.00249908506703803,0.0047386731995593,0.00235942410651581
"757",663,2001,0,0.00831497840395879,0.00315699175352926,0.0049659343805297,0.064,2.22044604925031e-16,0.00248869980410115,0.0047322559747668,0.00235040966115042
"758",663,2002,0,0.00827590875619582,0.0031930042102032,0.00491750048043954,0.064,2.22044604925031e-16,0.00251340010666364,0.00473712450397511,0.002368650523226
"759",663,2003,0,0.00837418935622992,0.00317094652622309,0.00501442388635192,0.059,2.22044604925031e-16,0.00250723325718234,0.00475262185205111,0.00235709724119503
"760",663,2004,0,0.00830753199684172,0.0031051927427436,0.00496650046304189,0.059,2.22044604925031e-16,0.002455946594853,0.00468428124102301,0.00231673418475925
"761",663,2005,0,0.0083278025295583,0.0032444055756176,0.00498281612707847,0.068,2.22044604925031e-16,0.00256301164940916,0.00480495247466938,0.00241891213486188
"762",663,2006,0,0.00837929255871235,0.00317276457056262,0.00502741831472896,0.059,2.22044604925031e-16,0.0025100706388843,0.00475833916956818,0.00236780791208026
"763",663,2007,0,0.00828959252937546,0.00322306255051045,0.0049375133909998,0.07,2.22044604925031e-16,0.00253787604401748,0.0047864727134768,0.00238851292434617
"764",663,2008,0,0.00830459586462025,0.00308941010746171,0.00497035375948909,0.059,2.22044604925031e-16,0.00243867574291785,0.0046642233858483,0.00229713393593601
